rank,player,position,team,bye,posrank,player_stat,points
248,Robert Tonyan,T,GB,14,25,Robert Tonyan,78.86
235,Gus Edwards,R,BAL,10,72,Gus Edwards,78.46
230,Randall Cobb,W,GB,14,86,Randall Cobb,77.75
214,Albert Okwuegbunam,T,DEN,9,22,Albert Okwuegbunam,77.55000000000001
247,Logan Thomas,T,WAS,14,24,Logan Thomas,77.01
183,Alec Pierce,W,IND,14,74,Alec Pierce,76.46000000000001
195,Rex Burkhead,R,HOU,6,56,Rex Burkhead,76.17
226,Nick Westbrook-Ikhine,W,TEN,6,82,Nick Westbrook-Ikhine,75.94
161,J.D. McKissic,R,WAS,14,44,J.D. McKissic,75.25999999999999
216,Kendrick Bourne,W,NE,10,78,Kendrick Bourne,74.95
184,Evan Engram,T,JAC,11,19,Evan Engram,74.38000000000001
185,Austin Hooper,T,TEN,6,20,Austin Hooper,72.97000000000001
229,Sterling Shepard,W,NYG,9,85,Sterling Shepard,72.57000000000001
200,Zamir White,R,LV,6,61,Zamir White,72.02
167,Khalil Herbert,R,CHI,14,50,Khalil Herbert,71.77000000000001
218,KJ Hamler,W,DEN,9,80,KJ Hamler,70.81
181,Christian Watson,W,GB,14,72,Christian Watson,69.22000000000001
261,Bryan Edwards,W,ATL,14,94,Bryan Edwards,67.81000000000002
232,A.J. Green,W,ARI,13,88,A.J. Green,67.75
186,Hayden Hurst,T,CIN,10,21,Hayden Hurst,67.07
182,Jameson Williams,W,DET,6,73,Jameson Williams,66.42
198,Darrel Williams,R,ARI,13,59,Darrel Williams,66.05000000000001
252,Devin Duvernay,W,BAL,10,92,Devin Duvernay,65.97999999999999
272,Zay Jones,W,JAC,11,98,Zay Jones,64.35000000000001
204,Cedrick Wilson,W,MIA,11,76,Cedrick Wilson,63.50999999999999
274,Byron Pringle,W,CHI,14,100,Byron Pringle,63.38
202,D'Onta Foreman,R,CAR,13,63,D'Onta Foreman,62.510000000000005
169,Jerick McKinnon,R,KC,8,52,Jerick McKinnon,62.28
205,Jamison Crowder,W,BUF,7,77,Jamison Crowder,62.0
249,Mo Alie-Cox,T,IND,14,26,Mo Alie-Cox,61.87
262,Sammy Watkins,W,GB,14,95,Sammy Watkins,59.95000000000001
273,James Washington,W,DAL,9,99,James Washington,59.51
257,Brevin Jordan,T,HOU,6,27,Brevin Jordan,59.0
217,Romeo Doubs,W,GB,14,79,Romeo Doubs,58.60000000000001
180,Wan'Dale Robinson,W,NYG,9,71,Wan'Dale Robinson,58.35
236,Damien Williams,R,ATL,14,73,Damien Williams,57.88
197,Sony Michel,R,MIA,11,58,Sony Michel,56.010000000000005
295,Nelson Agholor,W,NE,10,104,Nelson Agholor,55.57
170,Isiah Pacheco,R,KC,8,53,Isiah Pacheco,55.13
263,Braxton Berrios,W,NYJ,10,96,Braxton Berrios,55.01
203,Isaiah McKenzie,W,BUF,7,75,Isaiah McKenzie,54.77
239,Boston Scott,R,PHI,7,76,Boston Scott,54.510000000000005
292,Adam Trautman,T,NO,14,33,Adam Trautman,54.010000000000005
233,Chris Conley,W,HOU,6,89,Chris Conley,53.34
211,Dontrell Hilliard,R,TEN,6,69,Dontrell Hilliard,52.67000000000001
290,Kyle Rudolph,T,TB,11,31,Kyle Rudolph,52.160000000000004
238,Matt Breida,R,NYG,9,75,Matt Breida,50.46000000000001
207,Ameer Abdullah,R,LV,6,65,Ameer Abdullah,50.17000000000001
212,Ronald Jones II,R,KC,8,70,Ronald Jones II,49.43
237,Samaje Perine,R,CIN,10,74,Samaje Perine,48.550000000000004
291,Jonnu Smith,T,NE,10,32,Jonnu Smith,45.5
213,Hassan Haskins,R,TEN,6,71,Hassan Haskins,45.17
258,Tyler Conklin,T,NYJ,10,28,Tyler Conklin,45.14
293,Dan Arnold,T,JAC,11,34,Dan Arnold,43.269999999999996
259,Isaiah Likely,T,BAL,10,29,Isaiah Likely,42.81
209,Tyrion Davis-Price,R,SF,9,67,Tyrion Davis-Price,41.24999999999999
289,Tommy Tremble,T,CAR,13,30,Tommy Tremble,41.17
206,Chuba Hubbard,R,CAR,13,64,Chuba Hubbard,40.59
196,Mike Davis,R,BAL,10,57,Mike Davis,39.440000000000005
264,Eno Benjamin,R,ARI,13,81,Eno Benjamin,37.13000000000001
276,Jeff Wilson Jr.,R,SF,9,83,Jeff Wilson Jr.,35.67
241,Ke'Shawn Vaughn,R,TB,11,78,Ke'Shawn Vaughn,35.33
210,D'Ernest Johnson,R,CLE,9,68,D'Ernest Johnson,35.08
242,Joshua Kelley,R,LAC,8,79,Joshua Kelley,33.27000000000001
265,Justin Jackson,R,DET,6,82,Justin Jackson,31.120000000000005
240,Chris Evans,R,CIN,10,77,Chris Evans,29.510000000000005
141,Bills D/ST,D,BUF,7,1,Bills D/ST,26.185714285714297
280,Benny Snell Jr.,R,PIT,9,87,Benny Snell Jr.,23.530000000000005
208,Ty Montgomery,R,NE,10,66,Ty Montgomery,22.190000000000005
142,Saints D/ST,D,NO,14,2,Saints D/ST,19.95714285714287
145,Buccaneers D/ST,D,TB,11,5,Buccaneers D/ST,17.600000000000023
143,Packers D/ST,D,GB,14,3,Packers D/ST,16.91428571428571
285,Rams D/ST,D,LAR,7,17,Rams D/ST,13.62857142857142
146,49ers D/ST,D,SF,9,6,49ers D/ST,13.085714285714303
147,Cowboys D/ST,D,DAL,9,7,Cowboys D/ST,12.585714285714289
148,Colts D/ST,D,IND,14,8,Colts D/ST,9.971428571428575
221,Dolphins D/ST,D,MIA,11,13,Dolphins D/ST,9.771428571428586
149,Steelers D/ST,D,PIT,9,9,Steelers D/ST,8.44285714285715
253,Patriots D/ST,D,NE,10,15,Patriots D/ST,7.528571428571439
144,Ravens D/ST,D,BAL,10,4,Ravens D/ST,6.814285714285717
222,Browns D/ST,D,CLE,9,14,Browns D/ST,6.342857142857142
286,Titans D/ST,D,TEN,6,18,Titans D/ST,6.099999999999994
189,Chargers D/ST,D,LAC,8,11,Chargers D/ST,3.142857142857153
190,Bengals D/ST,D,CIN,10,12,Bengals D/ST,2.1857142857142975
298,Vikings D/ST,D,MIN,7,20,Vikings D/ST,1.8428571428571558
297,Broncos D/ST,D,DEN,9,19,Broncos D/ST,-0.4999999999999858
254,Eagles D/ST,D,PHI,7,16,Eagles D/ST,-0.7428571428571189
150,Commanders D/ST,D,WAS,14,10,Commanders D/ST,-2.5428571428571445
299,Panthers D/ST,D,CAR,13,21,Panthers D/ST,-10.214285714285708
300,Raiders D/ST,D,LV,6,22,Raiders D/ST,-18.95714285714284
